 0 -6.32682699432429        0 -6.29906849793237        0 -6.21144035398285
 1 -6.57543657956451        1 -6.50447137604062        1 -6.52109352410714
 2 -6.70124344879601        2 -6.65880755051967        2 -6.77915056205479
 3 -6.74811733272875        3 -6.75722237864567        3 -6.67698619682057
 4 -6.70912055112091        4 -6.80301101949305        4 -6.87177255212359
 5 -6.67695983602742        5 -6.79451095804465        5 -6.81501639599536
 6 -6.73680789664647        6 -6.68831986800622        6 -6.85233352231306
 7 -6.73827906257972        7 -6.75379060852101        7 -6.77633303315359
 8 -6.74953703990921        8 -6.81041962309647        8 -6.8529134547036
 9 -6.73817942329286        9 -6.68890357716383        9 -6.85318676951295
 10 -6.6900347845571        10 -6.77877871514897       10 -6.77615442479981
 11 -6.71212273503188       11 -6.72409987829887       11 -6.8111672657739
 12 -6.73757048157198       12 -6.78651402343861       12 -6.78711768437684
 13 -6.74675440036174       13 -6.82869505455467       13 -6.76738092498564
 14 -6.84221318971435       14 -6.75627895705605       14 -6.80333993668219
 15 -6.73985034667995       15 -6.73195793565487       15 -6.87742206000715
 16 -6.7527343946479        16 -6.71318931302797       16 -6.82052448268905
 17 -6.76127143972233       17 -6.767605451496         17 -6.81317208354874
 18 -6.77613549650242       18 -6.80492089300412       18 -6.83025799701318
 19 -6.76113263942647       19 -6.76837473063243       19 -6.84914422556923
 20 -6.75372286872571       20 -6.83619390128026       20 -6.84538519725887
 21 -6.77827134706162       21 -6.73642597349181       21 -6.80912205966051
 22 -6.69986555673467       22 -6.77290352058989       22 -6.81328907967043
 23 -6.70366831779021       23 -6.73104449261602       23 -6.84395162706107
 24 -6.72135800748799       24 -6.75271468518569       24 -6.85425949344871
 25 -6.82248864401537       25 -6.75386387490611       25 -6.87765979252148
 26 -6.7537946033323        26 -6.76058403068216       26 -6.7747882700528
 27 -6.73110009248061       27 -6.71687461513562       27 -6.86802608012456
 28 -6.72797362909438       28 -6.75279829984576       28 -6.83590188217135
 29 -6.77914861871529       29 -6.73474642706934       29 -6.74986058272709
 30 -6.77941342772888       30 -6.77868834953649       30 -6.88321755769908
 31 -6.77246351582802       31 -6.7087881749479        31 -6.79775007953332
 32 -6.75507402363497       32 -6.81321286660273       32 -6.74647856561279
 33 -6.75047019357799       33 -6.74279166081306       33 -6.87527127460491
 34 -6.85025753752107       34 -6.73202157386358       34 -6.88112243728345
 35 -6.79591111241529       35 -6.76419740675772       35 -6.83020505678222
 36 -6.75200101274359       36 -6.79815073728384       36 -6.84539842821735
 37 -6.83699708940148       37 -6.72710898740435       37 -6.80251758162716
 38 -6.76375025541201       38 -6.77841842600512       38 -6.84143033638784
 39 -6.76166146864535       39 -6.82983496507059       39 -6.85323349536374
 40 -6.76011572826041       40 -6.73757432490772       40 -6.84801646777998
 41 -6.79187036413837       41 -6.6980849738468        41 -6.83293608863727
 42 -6.78755448489956       42 -6.76154504481816       42 -6.89666878700346
 43 -6.7177873439516        43 -6.70777289034797       43 -6.83690496590758
 44 -6.70147817962423       44 -6.71616639491828       44 -6.77550463057674
 45 -6.75449491232943       45 -6.72308153208393       45 -6.79634271899504
 46 -6.77610926081598       46 -6.68500450046208       46 -6.81685112915358
 47 -6.73839015574265       47 -6.70214836550204       47 -6.78920309639308
 48 -6.84826392355613       48 -6.83343804755261       48 -6.91331729082991
