0 0.0554532254513562       0 0.0538904532084428      0 0.0524842907624778
1 0.0126667720839659       1 0.0136200536181361      1 0.0136535188041869
2 0.0024217214404989       2 0.0017996276001484      2 0.00204988290125963
3 0.000747581442730016     3 0.000633930905775681    3 0.000628724911995171
4 0.0005901173797902       4 0.000550754471848158    4 0.000435368292989402
5 0.000709835252113766     5 0.000813489299837933    5 0.00172889965419909
6 0.000736388770505858     6 0.000414171960317677    6 0.00268612244357547
7 0.000675538289111266     7 0.000707276519463118    7 0.00265952188475627
8 0.000555603597198751     8 0.00059025657363776     8 0.00470414647237627
9 0.000559696151452904     9 0.000875104830658113    9 0.00269863756131361
10 0.000718609105841761    10 0.000599565870483598   10 0.00234726611088298
11 0.000521193840343326    11 0.00065384706499616    11 0.00173127463278444
12 0.00079540374070719     12 0.000629018140593463   12 0.00209009724367393
13 0.000685128480358177    13 0.000687968525896032   13 0.00194470712493899
14 0.000739907724585098    14 0.000573701471679122   14 0.00134756347871878
15 0.000431515227627521    15 0.000561059299224453   15 0.00107053526973155
16 0.000586471482457274    16 0.000845147343545793   16 0.000630431291194444
17 0.000532669174050149    17 0.000615660327275336   17 0.000408036500417541
18 0.000693256150679833    18 0.000704480652838235   18 0.000365484052629927
19 0.000628989998335161    19 0.000679900340481598   19 0.000251652413735037
20 0.0006734212844548      20 0.000620108019689258   20 0.000492279611659097
21 0.00070784041588734     21 0.00056138805460515    21 0.000257262851115492
22 0.00071125386449733     22 0.000857436339799289   22 0.000137027872044726
23 0.000362510574789532    23 0.000784748053378248   23 0.000990366888142358
24 0.000509975552971387    24 0.000466113822418457   24 0.00046187802586406
25 0.00067361229606222     25 0.000613644059191731   25 0.000750132801841108
26 0.000615440681538626    26 0.000475731975587035   26 0.000443131699400912
27 0.0006733684090241      27 0.000118041985892603   27 0.000288029766227993
28 0.000516980424010161    28 0.000118449064198334   28 0.000411737606600848
29 0.000479219697321565    29 0.000132713521930228   29 0.000191478513702492
30 0.000602258963461999    30 0.000125971109793621   30 0.000617026844134116
31 0.000735146353850524    31 7.94722995665076e-05   31 0.000350336305557697
32 0.000572849512807228    32 5.00719789293669e-05   32 0.000121395340423103
33 0.000814289976247995    33 6.70869587464651e-05   33 0.000235933868793836
34 0.000545045059862748    34 4.18538720934336e-05   34 0.000333820029884357
35 0.000554377108549886    35 5.37756817644564e-05   35 0.000202164987268993
36 0.000734568394092694    36 5.46456405530193e-05   36 0.000426744811481861
37 0.000640774574895975    37 8.38253581161297e-05   37 0.000405926218370656
38 0.000641299531428885    38 2.93703270193291e-05   38 0.000188702200401458
39 0.000677828858584917    39 5.5379164157987e-05    39 0.000575093162586526
40 0.000421072750528495    40 5.8940201516311e-05    40 1.66289105041351e-05
41 0.000559608753349927    41 7.3272699689042e-05    41 5.80512677439415e-06
42 0.000486069701232328    42 5.29355634113493e-05   42 1.8214182527565e-05
43 0.000669339054959917    43 3.56402627597063e-05   43 0.000399692014899866
44 0.000548352343795688    44 4.54869815325054e-05   44 0.00020785804509682
45 0.000496370679410774    45 4.05791536639555e-05   45 0.000130968828609301
46 0.000731219150421403    46 5.2887245591382e-05    46 2.18124950892573e-05
47 0.00056108803274979     47 2.88896448852327e-06   47 0.00021255410024823
48 0.000688352332950615    48 3.5291928273562e-05    48 2.09156684438661e-05
49 0.000677206573780342    49 2.35526777569994e-05   49 0.000304548615721156
50 0.00067607130912517     50 2.93423168478135e-05   50 0.00027553868067276
51 0.000625167078486477    51 6.20225281631193e-05   51 5.80110171854997e-05
52 0.000653382928173851    52 3.3641678014007e-05    52 1.70246448405464e-06
53 0.000569687981220035    53 7.32354480215136e-06   53 0.000141944033329011
54 0.000708672652455       54 1.15333711212529e-05   54 0.000232083449723142
55 0.000685318058114781    55 6.31321546564756e-05   55 0.000674623043414702
56 0.000696983644127069    56 4.25554735365985e-05   56 0.000583178281600372
57 0.000617462160734661    57 2.69095060732027e-05   57 0.000251419650489471
58 0.000336963777226806    58 1.43507830867584e-05   58 8.61683082229447e-05
59 0.000597505647244922    59 5.86114046186026e-06   59 0.000243434697248635
60 0.000395783077871581    60 3.71652280146684e-05   60 9.93296676852218e-05
61 0.000519998504896702    61 1.27792066830779e-05   61 0.000340107617890606
62 0.000633702438164185    62 1.81010356188338e-05   62 0.00025704644773894
63 0.000768699741375833    63 3.01952099581726e-05   63 0.00025085304246053
64 0.000525459369003833    64 1.64047405264434e-05   64 0.000431778829033558
65 0.000838043041568426    65 4.93570014525879e-05   65 3.67979347415393e-05
66 0.000789623819730689    66 1.83565488640625e-05   66 0.000354507165081674
67 0.000384775333887699    67 1.78015308538448e-05   67 6.56019744322833e-05
68 0.000861673098075943    68 1.51710339824085e-05   68 0.000272931318183733
69 0.000523360118184435    69 3.93251667354377e-05   69 7.63700159311931e-05
70 0.000669868395341222    70 2.98522003059354e-05   70 0.000570921261280777
71 0.000614728773492779    71 2.3619737892222e-05    71 5.82847452963442e-05
72 0.000647649235471004    72 2.3785054596992e-05    72 0.000318814004334644
73 0.00074944366682006     73 3.07259597054355e-05   73 2.0985309479471e-05
74 0.000668738735793095    74 2.7220577832221e-05    74 0.000395910796414878
75 0.000570213885602744    75 1.17373674468624e-06   75 7.4524431292744e-07
76 0.000770848245529532    76 2.56146507462418e-05   76 0.000395026851993663
77 0.000565988389340966    77 1.00773909958995e-05   77 9.6624804247103e-05
78 0.000660317934802812    78 2.56620421437148e-05   78 0.00051904846555173
79 0.000715293110245874    79 3.55949077857076e-05   79 0.00025413419947995
80 0.000784776939507292    80 1.87617700810883e-05   80 4.96434941625878e-05
81 0.000621160529795439    81 1.9157249618651e-05    81 1.60662832082714e-05
82 0.000489922298641421    82 1.74306332030305e-05   82 0.000190394736896859
83 0.000655715238613741    83 3.02304106138962e-05   83 0.000346957534626657
84 0.000863731652407385    84 2.02874045385215e-05   84 0.000160871021096742
85 0.000666434767956581    85 2.66176632428561e-05   85 8.76142558037252e-05
86 0.000515387469018691    86 2.03055396719165e-05   86 0.000105181477494387
87 0.000864099958052922    87 1.80340147273306e-05   87 5.18352666367683e-05
88 0.000643041190868221    88 6.68514434698508e-06   88 0.000235705066243153
89 0.000473012467455902    89 2.97579299073369e-05   89 0.000176017716792209
90 0.000602220469141379    90 1.85800494785227e-05   90 1.29620296402955e-05
91 0.000634867844834464    91 2.46782924766542e-05   91 0.000242077533581408
92 0.000719344577578607    92 1.06637793528819e-05   92 0.000213431158401001
93 0.000512166249937884    93 9.50096101615117e-06   93 0.000411524061942448
94 0.000607665094943144    94 1.24586826117934e-05   94 0.000178166449475103
95 0.000676112577918886    95 5.74162915469856e-05   95 1.82285505756496e-05
96 0.000784993638641929    96 1.29822992578355e-05   96 0.000131987706339043
97 0.000764428916260496    97 3.19188154653816e-05   97 0.000172124871314239
98 0.000676948557513768    98 2.14245824623482e-05   98 0.000710293560295394
99 0.000562676884527935    99 4.11052005691026e-05   99 0.000425545103104774
100 0.000486913636445152   100 9.65861638491106e-06  100 0.000102851650961355
